nombre; fecha; enlace 
Entrega: Cliente python al directorio-BeautifulSoup Zeregina; osteguna, 2023(e)ko otsailaren 23(e)an, 23:00(e)tan; https://egela.ehu.eus/mod/assign/view.php?id=6255982 
Entrega: Ejercicio de repaso de los bloque HTTP y bloque WebScraping. Zeregina; asteazkena, 2023(e)ko martxoaren 1(e)an, 23:00(e)tan; https://egela.ehu.eus/mod/assign/view.php?id=6255993 
Burp G1 Zeregina; astelehena, 2023(e)ko martxoaren 13(e)an, 11:00(e)tan; https://egela.ehu.eus/mod/assign/view.php?id=6256053 
Python G1 Zeregina; astelehena, 2023(e)ko martxoaren 27(e)an, 11:00(e)tan; https://egela.ehu.eus/mod/assign/view.php?id=6256056 
